,separation (arcsec),5 sigma contrast,mass detection limit for 57 Myr (Mjup),mass lower limit for 38 Myr (Mjup),mass upper limit for 76 Myr (Mjup),mass detection limit for 100 Myr (Mjup),mass lower limit for 40 Myr (Mjup),mass upper limit for 600 Myr (Mjup)
234,2.9645002,2.0933076e-07,1.9474556,1.5996497,2.2441132,2.677693,1.6530224,7.750551
235,2.9767501,2.0745125e-07,1.9425367,1.5943744,2.2367473,2.6683674,1.6477511,7.72987
236,2.989,2.056415e-07,1.9377586,1.5892503,2.2295923,2.659309,1.6426306,7.70978
237,3.00125,2.0483566e-07,1.9356172,1.5869539,2.2263856,2.655249,1.6403358,7.7007766
238,3.0135002,2.0348176e-07,1.9320004,1.583075,2.2209697,2.6483922,1.6364598,7.68557
239,3.0257502,2.0384212e-07,1.9329652,1.5841098,2.2224143,2.6502213,1.6374937,7.689626
240,3.038,2.0489385e-07,1.9357724,1.5871203,2.226618,2.6555433,1.6405021,7.7014294
241,3.05025,2.0510349e-07,1.9363291,1.5877173,2.2274516,2.6565988,1.6410987,7.7037697
242,3.0625002,2.0495901e-07,1.9359449,1.5873053,2.2268763,2.6558704,1.640687,7.7021546
243,3.0747502,2.0656783e-07,1.9402094,1.5918787,2.2332623,2.6639552,1.6452571,7.7200847
244,3.0870001,2.0661494e-07,1.940334,1.5920123,2.2334487,2.6641915,1.6453905,7.720608
245,3.09925,2.0651021e-07,1.940057,1.5917153,2.2330341,2.6636665,1.6450938,7.7194443
246,3.1115003,2.0526198e-07,1.9367507,1.5881693,2.228083,2.657398,1.6415504,7.705542
247,3.1237502,2.0219736e-07,1.9285464,1.5793709,2.2157974,2.6418438,1.6327584,7.671047
248,3.1360002,2.0021787e-07,1.9231809,1.5736169,2.207763,2.631672,1.6270084,7.6484885
249,3.14825,1.9930383e-07,1.920685,1.5709403,2.2040255,2.62694,1.6243337,7.637995
250,3.1605,1.983527e-07,1.9180762,1.5681424,2.2001188,2.621994,1.6215379,7.627025
251,3.1727502,1.9736945e-07,1.9153657,1.5652356,2.19606,2.6168551,1.6186333,7.615629
252,3.1850002,1.971185e-07,1.914672,1.5644916,2.1950212,2.6155403,1.6178899,7.6127124
253,3.1972501,1.9607384e-07,1.9117738,1.5613835,2.1906812,2.6100454,1.6147839,7.600527
254,3.2095,1.9469903e-07,1.9079366,1.5572684,2.184935,2.6027706,1.6106718,7.584393
255,3.2217503,1.9391588e-07,1.9057386,1.5549113,2.1816437,2.5986037,1.6083163,7.575152
256,3.2340002,1.9871425e-07,1.9190698,1.5692079,2.2016065,2.6238775,1.6226027,7.6312027
257,3.2462502,1.982583e-07,1.9178165,1.567864,2.19973,2.6215017,1.6212597,7.6259336
258,3.2585,1.9834016e-07,1.9180417,1.5681053,2.200067,2.6219285,1.621501,7.62688
